,Description,num1,div,num2,unit
492,APPLE RED DEL XFCY FRESH,1,/,113,ct
493,POTATO BAKING #2 IDAHO FRESH,1,/,50,#
494,CUP PLAS CLR INSERT COMPOSTABL,1000,/,4,oz
495,PIE STRAWBERRY RHUB RTB 10,6,/,46,oz
496,CAKE BNDT CHOC MINI,36,/,4,oz
497,CUP PLAS TRANS 12 OZ,20,/,50,ct
498,PIE CHOC CRM PRE/SLC 8CUT,6,/,10,""""
499,GARLIC CLOVE FRESH JUMBO,1,/,5,lb
500,CONTAINER PAPER WHITE,1000,/,12,oz
501,SALMON PIECES 2-4 OZ IQF,1,/,30,#avg
502,HONEY LIGHT AMBER,6,/,5,lb
503,BRATWURST 6X1 SMKD,1,/,11,lb
504,BANANA GRN TURN TO YEL FRESH,1,/,10,#
505,MIX CAKE DEVILS FOOD COMPLT,6,/,5,lb
506,LIME FRESH,1,/,12,ct
507,CELERY ROOT FRESH,1,/,5,#
508,PASTA FUSILLI GLUTEN FREE,6,/,12,oz
509,BRATWURST LNK W/BEER FC,60,/,3.2,oz
510,PASTA SHELL STFD W/CHS,100,/,1.75,oz
511,PEPPER SERRANO FRESH,1,/,5,lb
512,MUSHROOM FRESH MEDIUM,1,/,5,lb
513,MUSHROOM BUTTON FRESH,1,/,3,#
514,SAVER PIZZA LID SUPPORT 1.5,1000,/,,ct
515,TOMATO 2 LAYER VN RIPE FRESH,1,/,,5x6
516,MUSHROOM OYSTER FRESH,1,/,3,lb
517,RASPBERRY RED WHOLE IQF,2,/,5,lb
518,LETTUCE RADICCHIO FRSH,1,/,9/12,ct
519,TEA ICED CONC LMN 5.5+1,1,/,2.5,gal
520,POTATO #2 10 OZ MIN SACK,1,/,50,lb
521,KETCHUP SQUEEZE RED RSU,16,/,14,oz
522,BREAD PITA FLAT 7,12,/,10,ct
523,YOGURT VANILLA LOW FAT 32 OZ,6,/,32,oz
524,CARROT STK FRESH,4,/,5,lb
525,ONION YELLOW MEDIUM FRESH,1,/,50,#
526,JICAMA ROOT FRESH,1,/,10,#
527,CHEESE RICOTTA IMPASTATA W/M,2,/,5,lb
528,DOUGH ROLL CINN W/WHL GRAIN,240,/,1.25,oz
529,SAUSAGE BF/PK SMKD ROPE,4,/,2.6,lb
530,LETTUCE FRESH ARCADN HVST CLS,1,/,3,lb
531,CHEESE GOAT LOG CHEVRE,12,/,10.5,oz
532,KETCHUP PACKET,1000,/,9,gm
533,RASPBERRY RED FRESH,12,/,.5,pt
534,PIEROGI POT/CHS CHDR 1.5 OZ,4,/,72,ct
535,GRAPEFRUIT RUBY RED FRESH,1,/,48,ct
536,DOUGH COOKIE DBLCHOCCHNK 4.875,104,/,3,oz
537,BANANA FRESH GREEN,1,/,40,lb
538,COOKIE BLUEBERRY BISCUIT,64,/,1.76,oz
539,SAUSAGE PORTUGUESE LINGUICA,1,/,5,#avg
540,BATTER MUFFIN GLORIOUS MORNING,1,/,18,lb
541,LEEK BUNCH FRESH,1,/,3,ct
542,PLATE PLAS WHT 6 CLSW RDG,10,/,18,ct
543,HAM BNLS DSHAPED CURE 81 NJ,1,/,7-9,#av
544,DOUGH COOKIE PEANUT BUTTER,240,/,1.33,oz
545,CONTAINER PAPER #4 TK OUT KRFT,90,/,,ct
546,LID PLAS WHT DOME SIP F/10-24Z,12,/,100,ct
547,DOUGH ROLL CINNAMON CLASSIC,60,/,6.5,oz
548,BATTER MUFFIN ORANGE BLOSSOM,1,/,18,lb
549,LETTUCE ICEBERG FRESH,1,/,12,ct
550,BAG PLAS TSHRT 11.5X6.5X21 TKU,1000,/,,ct
551,PORK CHOP CC SPCL 1412A,40,/,4,oz
552,POTATO BAKING IDAHO 40CT FRSH,1,/,50,lb
553,PEPPER YEL BELL FRESH,1,/,25,#
554,SPINACH BABY ORGANIC LINER,1,/,4,lb
555,HAM BUFFET BNLS H/W 32% MENUMA,2,/,9-10,#
556,JUICE APPLE PET,24,/,10,oz
557,PORK RIB ST LOUIS 2.25-2.5#COV,4,/,4,pc
558,ONION RED RING W/CENTER 1/4,1,/,5,lb
559,BOLOGNA STK ALL-MT,1,/,9,#avg
560,PORK DICED 1 IN CUBE 435,2,/,5,lb
561,CHICKEN TNDR BRD PK NAE/GLTFR,2,/,5,lb
562,SPINACH CLIPPED FRESH,4,/,2.5,lb
563,BAGEL MINI PLAIN SLI 1 OZ,144,/,1,oz
564,HAM CAPICOLA BUTT HOT,1,/,5-6,#av
565,BOLOGNA STK ALL-MT,2,/,8,#avg
566,CRAB IMIT FLK SURIMI W/O CRAB,4,/,2.5,lb
567,CONTAINER PAPER 12OZ WSHTN UNV,20,/,,25
568,MILK SOY ORIGINAL ORGANIC,12,/,32,oz
569,BAR GRANOLA MAPLE BROWN SUGAR,125,/,1.27,oz
570,CUP PAPER HOT INSUL WORLD ART,600,/,20,oz
571,MELON CANTALOUPE FCY FRESH,1,/,15,ct
572,CUCUMBER SELECT FRESH,1,/,50-55,#
573,BANANA GRN TURN TO YEL FRESH,1,/,40,#
574,LIME FRESH 150CT,1,/,40,#
575,CABBAGE RED SHRD FRSH,4,/,5,lb
576,EGGPLANT FRESH,1,/,24,ct
577,PIE PECAN SOUTHERN 10,6,/,36,oz
578,STRAWBERRY SLICED 4X1,6,/,6.5,lb
579,PIE BLUEBERRY HI-PIE RTB 10IN,6,/,47,oz
580,CHEESE MOZZARELLA LOAF LMPS WI,8,/,6,#avg
581,POTATO BAKING RUSSET 120 CT.,1,/,50,lb
582,BOLOGNA STK ALL-MT,2,/,7,#avg
583,BEEF ROUND INS TOP CH 1/4,1,/,18,#-up
584,KALE FLOWERING FRESH,1,/,24,ct
585,FORK PLAS PP WHT MED WT,1000,/,,ct
586,SPOON PLAS PP WHT MED WT,1000,/,,ct
587,HAM CAPICOLA BUTT,3,/,5-6,#av
588,YOGURT LEMON ORIGINAL,12,/,6,oz
589,YOGURT VANILLA LOW FAT,6,/,32,oz
590,CREAM SOUR ALL NAT GRD A,4,/,5,lb
591,CHEESE RICOTTA PRT SKM,2,/,5,lb
592,PEAR BARTLETT FRESH,1,/,100,ct
593,TOMATO BULK GREEN FRESH,1,/,25,lb
594,NAPKIN DNR 15X17 2PLY BLACK,8,/,125,ct
595,APPLE GRANNY SMITH FCY WASH FR,1,/,100,ct
596,SHRIMP CW PUD CKD 250/350,2,/,5,lb
597,CHEESECAKE NEW YORK STYLE,4,/,68,oz
598,TURNIP YELLOW DICED FRESH,1,/,20,#
599,CONTAINER PAPER FOOD DFRP-16,500,/,16,oz
600,BANANA GRN TIP FRESH,1,/,40,lb
601,TOAST FRENCH STK WHL GRAIN,12,/,2,lb
602,PASTA PENNE RIGATE GLUTEN FREE,6,/,12,oz
603,CONTAINER PLAS HNG SAND WDG,1,/,255,ct
604,DOUGH COOKIE CHOCOLATE CHIP,240,/,1.33,oz
605,COFFEE GRND VERANDA,32,/,5,oz
606,COFFEE GRND DECAF PIKES PLACE,28,/,9,oz
607,CONTAINER PLAS HNG B/C 9 DEEP,100,/,,ct
608,MILK SWEETENED CONDENSED POUCH,3,/,140,oz
609,JUICE POMEGRANATE 100% FRSH,8,/,8,oz
610,LID BOWL FENWICK,1000,/,9,oz
611,FORK PLAS MW BLK BULK,1,/,1000,ct
612,MILK HOMOGENIZED CORRUGATTED,9,/,1/2,gal
613,BOWL PLAS BLK CLS 16 OZ,500,/,16,oz
614,DRINK BERRY ALL STAR 12 OZ,2,/,12,pk
615,CEREAL GRANOLA OAT N HNY BLKPK,4,/,44,oz
616,CAKE CHOC THUNDER,2,/,9,""""
617,COOKIE CHOC CHIP SUGAR FREE,120,/,2,ct
618,GLOVE VINYL FDSVC PF XL,10,/,100,ct
619,TOMATO DICED 3/8,1,/,5,lb
620,LABEL DAY KIT 3/4 REMOVABLE,1,/,,kit
621,CABBAGE RED FRSH MED,1,/,50,lb
622,CROISSANT MARG RND SLI 2 OZ,4,/,12,ct
623,CHEESECAKE FRCH CRM SHT 8X15,4,/,73,oz
624,CAKE LYR CHOC DARK CHOC ICING,4,/,53,oz
625,MUSHROOM PORCINI WHL,5,/,2.2,lb
626,GREEN COLLARD CHOPPED GR A,12,/,3,lb
627,YOGURT BLUEBERRY ORIGINAL,12,/,6,oz
628,BRATWURST 4X1 N/C,40,/,4,oz
629,CUCUMBER SELECT FRESH,1,/,24,ct
630,LID PLAS F/12-16-32 OZ 25% REC,500,/,,ea
631,DONUT YEAST GLAZED,108,/,1.2,oz
632,GRAPEFRUIT RUBY RED FRESH,1,/,32,ct
633,DRINK BERRY MIXED G2 CLR,24,/,12,oz
634,INSERT FOR PARFAIT CUP,8,/,,125
635,STEAK CUBE REGULAR 1101,40,/,4,oz
636,YOGURT FRENCH VAN L/F ORGANIC,6,/,32,oz
637,MUSHROOM SLI FRESH,1,/,10,lb
638,SAUCE HOT ORIG PACKETS,200,/,7,gm
639,CAKE LYR CARROT 9IN,4,/,72,oz
640,PRETZEL SOFT BAKED KINGSIZE,50,/,5,oz
641,DOUGH ROLL CINNAMON,84,/,4,oz
642,THERMOMETER PKT DIAL IRT 220,1,/,,ea
643,MUSHROOM SHIITAKE FRESH,1,/,5,lb
644,SAUCE SWEET CHILI,2,/,1,gal
645,BATTER MUFFIN BLUEBERRY,1,/,18,lb
646,ICE CREAM BUTTER PECAN,1,/,3,gal
647,CREAMER HALF & HALF,16,/,1,qt
648,MIX CAKE WHITE SUGFREE LOW SOD,12,/,20,oz
649,CUTLERY PLASTIC FRK BULK SILV,600,/,1,cse
650,WRAP FOIL PLAIN 10.5X14,5,/,500,ct
651,KNIFE PLAS WHT PLA 7CMPSTABLE,5,/,100,ct
652,CUP PLAS CLR 5 OZ RIGID,20,/,50,ct
653,APPLE GRANNY SMITH FCY 40# FRS,1,/,100,ct
654,KIWI FRUIT FCY FRESH,1,/,36,ct
655,MUSHROOM BUTTON FRESH,1,/,10,lb
656,CAKE LYR GERMAN CHOC,4,/,50,oz
657,MANGO FRESH SPEARS,1,/,8,lb
658,PEPPERONI SLICED PORK&BEEF 16C,2,/,12.5,lb
659,POTATO BAKING RUSSET 80CT FRSH,1,/,50,lb
660,CHICKEN 8PC MARN IQF,120,/,4.5,oz
661,ONION RED FRESH JUMBO,1,/,25,lb
662,PEPPER ASSORTED TRI-COLOR,1,/,11,lb
663,MILK ALMOND CHOC DARK,18,/,8,oz
664,SAUSAGE BF/PK SMKD LNK HOT 5X1,1,/,11,lb
665,CREAM WHIPPED ARSL XTRA CREAMY,12,/,15,oz
666,POTATO H/BRN SIDE O BRWN 2.25Z,12,/,20,ct
667,NOODLE LO MEIN FRZN,1,/,5,#
668,DRINK GRAPE FIERCE WIDEMOUTH,24,/,20,oz
669,MILK 1%,4,/,1,gal
670,BEEF SIRL FLAP MEAT 185A,4,/,16,#avg
671,ONION WHITE JUMBO FRESH,1,/,50,lb
672,CHEESE CUBE CHED/SWISS/PEP JCK,3,/,5,lb
673,BANANA PETITE GRN FRESH,1,/,150,ct
674,LINER TRASH 24X32 .9 ML BLK,500,/,12-16,g
675,CHARD SWISS RED FRESH,1,/,12,ct
676,FLOUNDER FILET IQF 5 OZ,1,/,10,lb
677,PICKLE SPR DILL KO 215/265 CT,1,/,5,gal
678,TOMATO 1 LAYER 6X6,1,/,10,lb
679,QUINOA GRAIN TRI COLORED,6,/,2,lb
680,BREAKFAST BAR NUTRI-GRN APPLE,96,/,1.55,oz
681,BREAD BUN CHALLAH SLIDER,1,/,192,cnt
682,PIE APPLE CARAML GRNY 14CT 12,4,/,76,oz
683,ICE CREAM VAN BEAN,1,/,3,gal
684,SAUSAGE ITAL BULK MILD RAW,4,/,5,lb
685,APPLESAUCE FANCY UNSWEETENED,6,/,,#10
686,HAM BUFFET BNLS 30% H&W 95% LN,2,/,10-12,#
687,CHICKEN CVP B/S BRST 6 OZ ABF,4,/,5,lb
688,BATTER MUFFIN APPLE CINNAMON,1,/,18,lb
689,BAG PAPER WHT 4#,1,/,500,ct
690,PASTA TORTELLINI CHEESE PRECKD,2,/,5,lb
691,LID PLAS DME WHT F/10-24OZ,10,/,100,ct
692,APPLE RED SLI FRSH,1,/,8,lb
693,CHIP TORTILLA MULTGRN GLTN FR,24,/,1.5,oz
694,BAGEL CIN/RSN SLI 2.3 OZ,12,/,6,ct
695,CHICKEN GROUND THIGH MEAT,4,/,5,lb
696,JUICE ORANGE CONC SELECT 4+1,3,/,3,ltr
697,TRAY PLAS RECT 14X10 BLK,25,/,,14x10
698,PICKLE DILL SPR 275-325 CT REF,1,/,5,gal
699,RELISH PICKLE SWEET,4,/,1,gal
700,FILTER GREASE CONE 10 IN,1,/,100,ct
701,CHEESE MOZZ FRSH OVOLINI 4OZ,2,/,3,lb
702,TEA EARLGREY,6,/,20,ct
703,PORK LOIN CC BI 8 RIB AN,2,/,6.5,#av
704,POP TART FR STRBRY WHL GRN 2CT,72,/,3.53,oz
705,PAPER BUTCHER ROLL WHT 1000,1,/,15,""""
706,MIX PUDDING VAN RDUC CAL SUG F,6,/,9,oz
707,FRANK TURKEY 8X1,2,/,5,lb
708,KIT CUTLERY FKS/S&P/NAP PP WHT,250,/,,ct
709,JUICE ORANGE CONC BLEND 4+1,3,/,3,ltr
710,JUICE ORANGE 100% 4+1,3,/,3,ltr
711,CUP PLASTIC TRANS 5 OZ,25,/,100,ct
712,CEREAL HOT CREAMY RICE,12,/,28,oz
713,PEPPER BELL GREEN ORGANIC,1,/,25,lb
714,PAPER PATTY SQUARE 5.5,1,/,1000,ct
715,WRAP DRY WAX DELI 12X10.75,1,/,500,ct
716,JUICE TOMATO FCY,12,/,46,oz
717,SNACK BAR CHOC CHIP OATMEAL,144,/,1.24,oz
718,MELON HONEYDEW FRESH,1,/,6,ct
719,LETTUCE BOSTON FRESH,1,/,24,ct
720,TOMATO 2 LAYER 5X5 FRESH,1,/,50,ct
721,SAUSAGE W/H BULK,4,/,6,lb
722,CHICKEN LIVER IQF,4,/,5,lb
723,STRAWBERRY WHOLE IQF,1,/,10,lb
724,CARROT SLI GR A P,12,/,2,lb
725,MANICOTTI CHEESE 4 IN IQF,60,/,2.75,oz
726,GARLIC CLOVE BULK FRESH LARGE,1,/,30,lb
727,PEA GREEN P,12,/,2.5,lb
728,PASTA ZITI,2,/,10,lb
729,PEPPERONI STICK 3.0 DIAMETER,3,/,3-4,#av
730,PIE PUMPKIN RTB 10,6,/,46,oz
731,CAKE LYR VARIETY 9,4,/,54,oz
732,APPLE RED DEL FCY WASH 40# FRS,1,/,138,ct
733,LID PLAS CLR F/DFR10 & DFT16,20,/,50,ct
734,DONUT HOLE CHOCOLATE CAKE,440,/,.4,oz
735,CHEESE CREAM LOAF,10,/,3,lb
736,TURNOVER APPLE FRYABLE,120,/,3,oz
737,PASTRY CREAM PUFF 1.33 OZ,4,/,12,ct
738,CILANTRO BUNCH FRESH,1,/,6,ct
739,LETTUCE RADICCHIO FDSVC FRESH,1,/,12,ct
740,GRAIN SPECIALTY BULGUR WHEAT,6,/,2,lb
741,WINE COOKING MARSALA,4,/,1,gal
742,SAUSAGE POLSKA ROPE KIELBASA,1,/,11,lb
743,JICAMA ROOT FRESH,1,/,20,lb
744,PEPPER RED BELL LARGE FRESH,1,/,5,lb
745,DOUGH BREAD WHEAT,24,/,18.25,z
746,PIE APPLE HI-PIE RTB 10 IN,6,/,49,oz
747,ONION WHITE FRESH JUMBO,1,/,50,lb
748,TURKEY BRST BNLS RAW FOIL,2,/,8-10,#
749,LID PLAS CLR 12OZ,10,/,100,ct
750,GINGER ROOT FRESH,1,/,30,lb
751,PAPAYA HAWAII FRESH,1,/,9-12,ct
752,BAG PAPER BRN 11X6X11 DIECUT,1,/,500,ct
753,RADISH RED TRMD & CLND FRESH,1,/,5,lb
754,ICE CREAM SPUMONI,1,/,3,gal
755,CAULIFLOWER CELLO WRPD FRSH,12,/,,ea
756,BATTER MUFFIN RAISIN BRAN,1,/,18,lb
757,BATTER MUFFIN HONEY CORN,1,/,18,lb
758,COOKIE OATMEAL RSN BKD,108,/,1.33,oz
759,BATTER MUFFIN BLUEBERRY,6,/,3,lb
760,CHIP POTATO KTL APLWD RFAT BBQ,64,/,1.375,z
761,CARROT FRESH,1,/,25,lb
762,CONTAINER PAPER #3 TK OUT KRFT,130,/,,ct
763,FLOUNDER FILET BLK BACK FRSH,1,/,10,lb
764,BRUSSEL SPROUT MED GR A IQF,6,/,4,lb
765,SAUSAGE LNK 1 OZ,1,/,12,lb
766,POTATO WHL PLD,2,/,10,lb
767,SQUASH ZUCCHINI ORGANIC FRSH,1,/,20,lb
768,LID PLAS DOME BLK LOCK BCK,12,/,100,ct
769,MIX CAKE YEL SUGFREE LOW SOD,12,/,20,oz
770,BAG PAPER BRN 1/8BBL 57# TALL,1,/,500,ct
771,BAG PAPER WHT 8#,1,/,500,ct
772,KALE BABY,2,/,1.5,lb
773,JUICE GRPFRT 100% RUBY RED PET,24,/,10,oz
774,BACON CANADN STY HALF STICK WA,2,/,3-4,#av
775,BAGEL PLAIN PARBKD,72,/,4,oz
776,RELISH SWEET BULK,4,/,1,gal
777,PIE CHOC CRM 10 IN,6,/,27,oz
778,LIME FRESH,1,/,48,ct
779,DOUGH BREAD WHITE,24,/,18.25,z
780,PEA SNOW FRSH,1,/,5,lb
781,POTATO BAKING FL WRP 80CT FRSH,1,/,50,lb
782,DOUGH DANISH SHEET 8X12,24,/,10,oz
783,PICKLE SPR KO 215/265CT REF,1,/,5,gal
784,FRANK ALL-BEEF 8X1 6 IN,2,/,5,lb
785,SPOON SOUP PLAS PP WHT MED WT,1,/,1000,ct
786,DOUGH ROLL DINNER WHEAT,240,/,1.25,oz
787,GREEN COLLARD FRESH,1,/,24,ct
788,PEPPER JALAPENO FRESH,1,/,5,lb
789,CREAM SOUR PURE GR A,4,/,5,lb
790,CHICKEN TNDR BRD ORIG FLAT,2,/,5,lb
791,POTATO WHL PLD SZ B FRESH,1,/,30,lb
792,CHEESE GOAT LOG,12,/,11,oz
793,DONUT CAKE OLD FASHION PREMIUM,84,/,2,oz
794,WONTON SKIN FRZN,1,/,5,#
795,RUTABAGA FRESH,1,/,50,lb
796,BREAD REGSLICE WHOLE WHEAT T&S,16,/,23.8,oz
797,JUICE APPLE SPLASH,40,/,6,oz
798,BAG PLAS CLR LIP&TAPE 6.5X6.5,1000,/,,ct
799,PEPPER JALAPENO FRESH,1,/,5,lb
800,TORTILLA FLOUR HT PRSSD 4.5,24,/,12,ct
801,MILK BUTTERMILK,16,/,1,qt
802,JUICE LIME,12,/,1,ltr
803,PIZZA BREAKFAST WG SAUS/GRVY,128,/,3,oz
804,BATTER MUFFIN CRANBERRY ORANGE,6,/,3,lb
805,CORN WHL KERNEL GR A P,12,/,2.5,lb
806,SLEEVE FOR CUP HOT PCF RSK-20,1200,/,,ct
807,MELON WATERMELON CKTAIL CUT,1,/,7.5,lb
808,TEA ICED CONC RASP 5.5+1,1,/,2.5,gal
809,LETTUCE ICEBERG CELLO FRESH,1,/,24,ct
810,BEET WHL FRESH,1,/,25,lb
811,CREAM SOUR DRSSNG CULTRD,4,/,5,lb
812,CLEANER GEN PEROXIDE BIO-BASED,1,/,2.5,gal
813,BAG PAPER BRN HNDL BSTRO 60#,1,/,250,ct
814,PEACH DICED W/PEAR JUICE,6,/,,#10
815,BREAD PITA FLAT CHICAGO STYLE,120,/,6,in
816,DOUGH STRUDEL CHERRY STICK,96,/,2.75,oz
817,LETTUCE SAL MIX TOSSED FRESH,4,/,5,lb
818,DOUGH PASTRY SQR 5X5,120,/,2,oz
819,BEEF STRIP LOIN 1X1 XT 1/4 CH,3,/,12-15,#
820,SPICE CURRY PASTE TIKKA MASALA,6,/,8,oz
821,SPICE GARLIC GRANULATED,6,/,26,oz
822,APPLE FUJI,1,/,5,#
823,TOPPING STRAWBERRY,3,/,118,oz
824,PICKLE DILL SLI 1/8 KK 650 CT,4,/,1,gal
825,KETCHUP VOL PAK,1,/,3,gal
826,JUICE APPLE,24,/,8,oz
827,MILK ALMOND ORIGINAL,6,/,64,oz
828,STRAW WRPD TRANS GNT 10.25,6,/,300,ct
829,PLATE PLAS CLR 9,10,/,25,ct
830,CUP PAPER CLD POLY 16OZ PATH,24,/,50,ct
831,TOWELETTE MOIST LMN SCENT 6X5,1000,/,,ct
832,CAKE CHOC TORTE FLOURLS,2,/,10,""""
833,POTATO FRESH FINGERLING MIXED,1,/,10,lb
834,MILK ALMOND VAN PURE ASEPT,6,/,32,oz
835,LETTUCE RED LEAF FRESH,1,/,24,ct
836,PRETZEL SOFT BAKED SUPER,100,/,2.5,oz
837,CAKE SHEET BANANA 12X16,4,/,75,oz
838,CAKE SHEET CARROT,4,/,96,oz
839,DOUGH ROLL CINNAMON SWEET,120,/,2.25,oz
840,SAUERKRAUT FRESH-PAK,1,/,5,gal
841,COUSCOUS INTL ISRAELI,6,/,1.5,lb
842,BEEF LIVER SLICED SKND&DVND,40,/,4,oz
843,ONION YEL FRESH JUMBO,1,/,25,lb
844,PEPPER JALAPENO FRESH,1,/,10,lb
845,LIME FRESH 200CT,1,/,40,lb
846,PICKLE SPR DILL KO 425CT,1,/,5,gal
847,POTATO H/BRN DICE SKIN-ON CTRY,6,/,6,lb
848,APPLE RED DEL FCY WASH FRESH,1,/,88,ct
849,SYRUP PANCAKE & WFFL SUG FREE,12,/,12,oz.
850,BANANA PETITE GRN TIP FRESH,1,/,150,ct
851,TOPPING WHPD BASE,1,/,30,lb
852,MUSHROOM FOODSERVICE FRESH LRG,1,/,3,lb
853,MUSHROOM FRESH MEDIUM,1,/,10,lb
854,CHIP POTATO SEA SALT & VGR,72,/,.8,oz
855,ICING VANILLA BETTERCREAM WHPD,1,/,15,lb
856,ICE CREAM FRENCH VANILLA,1,/,3,gal
857,DOUGH COOKIE WHTCHOC MAC NT 3Z,4,/,4.87,lb
858,PEA GREEN GR A P,12,/,2.5,lb
859,CONTAINER PLAS CUPCAKE SINGLE,1,/,270,ct
860,DOUGH ROLL BUTTER & EGG,240,/,1.5,oz
861,CUP PAPER HOT PCF SMRP-20,800,/,20,oz
862,CUP PAPER HOT SQUAT SMMP-10,1000,/,10,oz
863,AVOCADO CHUNK FRSH TRAY PK,6,/,2,lb
864,MILK CHOCOLATE LOW FAT,12,/,1,pt
865,PEPPER RED DICED FRESH,1,/,5,lb
866,SNACK BAR DK CHOC NUT SEA SALT,6,/,12,ct
867,PIE SHELL 8 OZ,20,/,10,""""
868,CONTAINER PAPER #4 TAKEOUT BLK,1,/,90,ct
869,TONG PLAS BLK SMALL,1,/,48,ct
870,CHICKEN CVP B/S BRST NAE 4 OZ,4,/,5,lb
871,SPOON PLAS PP WRPD WHT,1,/,1000,ct
872,PORK STEAMSHIP LEG BI XTRA TND,1,/,20,#avg
873,SCRAPPLE FRESH,12,/,2,lb
874,COD LOIN IQF NATURAL 6 OZ,1,/,10,lb
875,ONION RED SLI 1/8 W/CNTR TRAY,4,/,5,lb
876,POTATO RED #2 FRESH SZ A,1,/,50,lb
877,CHIP TORTILLA SWTPOT GLUTEN FR,24,/,1.5,oz
878,CHIP TORTILLA JALAPENO NAT,24,/,1.5,oz
879,LETTUCE ICEBERG TRIMMED FRESH,4,/,6,ct
880,CARROT STK FRESH,4,/,5,lb
881,PIZZA CHEESE ROUND 5 BULK,54,/,5.2,oz
882,BOLOGNA ALL MEAT DELI STY,4,/,5,#avg
883,LID DOME SML PET PRESENTATION,8,/,63,ct
884,CREAMER NON-DAIRY PWDR CANST,24,/,14,oz
885,CHICKEN CVP WING 1&2 JNT,4,/,10,lb
886,WAFFLE BELGIAN 4 IN,72,/,2,oz
887,PLATE FOAM HVY LAM BLK 9IN,4,/,125,ct
888,PLATE PLAS IMPACT BLK 9IN,4,/,100,ct
889,SNACK MIX CHEX CHOC CARM SMPLY,60,/,1.03,oz
890,BANANA GRN TIP FRESH,1,/,10,lb
891,SAUERKRAUT SHREDDED FRESH PK,4,/,1,gal
892,BEEF CORNED BRSKT RAW 40,2,/,13-17,#
893,CLAM CHOPPED SURF RAW,4,/,5,lb
894,SQUASH ACORN FRESH,1,/,18,ct
895,PICKLE CHIP KK 5/16IN1000/1200,1,/,5,gal
896,BEEF CORNED BRSKT RAW 35%,2,/,9-12,#a
897,SQUASH BABY ZUCCHINI FRESH,1,/,5,lb
898,SHRIMP P&D TLOF CKD 250/350,2,/,5,lb
899,AVOCADO HASS BRKNG FRESH,1,/,12,ct
900,BRATWURST 4X1 BRN&SRV,1,/,11,lb
901,SAUSAGE POLISH LNK N/C 5X1 5.5,1,/,11,lb
902,AVOCADO HASS RIPE FRESH,1,/,48,ct
903,TOMATO BULK FRESH MEDIUM 6X7,1,/,25,lb
904,OYSTER SHUCK SEL FRSH,1,/,1,gal
905,MILK SKIM PLAS BTL,12,/,1,pt
906,BATTER MUFFIN RAISIN BRAN,6,/,3,lb
907,CUP PAPER HOT 16OZ COMPOSTABLE,1000,/,16,oz
908,BEAN GREEN ITALIAN CUT GRA P,12,/,2,lb
909,PEPPER GREEN BELL LARGE FRESH,1,/,25,#avg
910,BACON LAY FLAT SS 14/18 GF APL,2,/,10,lb
911,PIE PEACH RTB 10,6,/,46,oz
912,CONTAINER PAPER #4 TAKEOUT WHT,90,/,,ct
913,SHALLOT FRESH PEELED,1,/,5,lb
914,APPLE GRANNY SMITH FCY WASH FR,1,/,88,ct
915,SHORTENING LIQ ZTF ESSENTIAL,1,/,35,lb
916,CHEESE MOZZ PIZZ BLD FEATHERED,4,/,5,lb
917,MELON HONEYDEW CKTAIL CUT,1,/,8,lb
918,MELON CANTALOUPE CKTAIL CUT,1,/,8,lb
919,BATTER MUFFIN ORANGE BLOSSOM,6,/,3,lb
920,SQUASH CHAYOTE FRESH 24 CT,1,/,24,#
921,CHIP CRACKER SEA SALT SPEC K,36,/,.87,oz
922,PLATE PLAS CLR SAVVISERVE,240,/,9,""""
923,KNIFE PLAS BLK 7IN PLA VINE,1,/,500,ct
924,YOGURT STW/BAN LIGHT,12,/,6,oz
925,BAG PAPER BRN HNDL SROYAL 70#,1,/,200,ct
926,PIE PEACH BRY,6,/,49,oz
927,SPINACH STEM-OFF FRESH,4,/,2.5,lb
928,PARSLEY CURLY ORGANIC,1,/,30,ct
929,PASTA DITALI,12,/,17,oz
930,PUMPKIN SEED BULK,1,/,5,lbs
931,CURRANT ZANTE,1,/,5,lbs
932,COOKIE ASST IW SUGAR FREE,212,/,.75,oz
933,BEEF ROUND INS TOP S&T CH 1/4,2,/,8-11,#
934,LETTUCE FRESH ARCADN HVST CLSC,4,/,3,lb
935,MILK ALMOND VAN,18,/,8,oz
936,GINGER ROOT FRESH,1,/,5,lb
937,BAGEL PLAIN 3 OZ,12,/,6,ct
938,ICE CREAM CHOC CHIP,1,/,3,gal
939,ORANGE FLORIDA FRESH,1,/,100,ct
940,CABBAGE NAPA,1,/,10,lb
941,DOUGH COOKIE CHOC CHUNK 3OZ,104,/,3,oz
942,NOODLE UDON DRY,1,/,18,lb
943,BAGEL PLAIN I/W FS GLU FREE,24,/,3.5,oz
944,PEPPERONI STICK,1,/,10,lb
945,TOMATO 2 LAYER FRESH,1,/,,5x6
946,NAPKIN BEV 9.5X9.5 2PLY BGNDY,4,/,250,ct
947,APPLE RED DEL FCY WASH FRESH,1,/,113,ct
948,CUP PAPER HOT PCF SMRP-8,1000,/,8,oz
949,CUP PAPER HOT PLA 12 OZ,1000,/,12,oz
950,CUP PAPER HOT PLA 20 OZ,1000,/,20,oz
951,EGG WHITE SUPER WHIP,6,/,5,lb
952,DOUGH COOKIE OATMEAL RSN,240,/,1.33,oz
953,PLATE PAPER MLD FBR 9 USA,4,/,125,ct
954,CHICKEN 8PC MARN IQF,96,/,4.5,oz
955,TEA ICED CONC UNSWT 5.5+1,1,/,5,gal
